epoch,accuracy,loss,prec,rec,val_accuracy,val_loss,val_prec,val_rec
0,0.3867403268814087,1.6574783325195312,0.39704984426498413,0.10228466242551804,0.4112149477005005,1.4852057695388794,0.545623242855072,0.22347688674926758
1,0.4116021990776062,1.473639965057373,0.4625466465950012,0.15007878839969635,0.3757009208202362,1.4229786396026611,0.524509847164154,0.05514705926179886
2,0.45764273405075073,1.3440923690795898,0.5831348896026611,0.19669117033481598,0.5121495127677917,1.3262861967086792,0.5547258257865906,0.3048844635486603
3,0.47790056467056274,1.2860205173492432,0.582700788974762,0.23844537138938904,0.5383177399635315,1.2351479530334473,0.5983394980430603,0.2387079894542694
4,0.5478821396827698,1.1900185346603394,0.631605863571167,0.3490021228790283,0.5551401972770691,1.202474594116211,0.7348738312721252,0.19590336084365845
5,0.5966851115226746,1.089548945426941,0.6671505570411682,0.43920692801475525,0.5831775665283203,1.2293076515197754,0.6008847951889038,0.5241596698760986
6,0.6583793759346008,0.9989058375358582,0.7047446966171265,0.5445115566253662,0.5887850522994995,1.1719167232513428,0.6084957718849182,0.5456932783126831
7,0.7200736403465271,0.8889126181602478,0.7421398758888245,0.653755247592926,0.6373831629753113,1.133920669555664,0.6477499008178711,0.5926995277404785
8,0.7780846953392029,0.7558221220970154,0.8084273934364319,0.7551207542419434,0.6224299073219299,1.1579372882843018,0.6274510025978088,0.611869752407074
9,0.7965009212493896,0.7109745144844055,0.8192582130432129,0.777442216873169,0.6560747623443604,1.1181775331497192,0.6730970740318298,0.6496848464012146
10,0.8084714412689209,0.6822619438171387,0.8302617073059082,0.7874212265014648,0.6560747623443604,1.134763479232788,0.6653361916542053,0.6399684548377991
11,0.8489871025085449,0.6026597023010254,0.865166425704956,0.8266806602478027,0.6803738474845886,1.0547256469726562,0.6900385022163391,0.6559873819351196
12,0.8526703715324402,0.5695909261703491,0.8742847442626953,0.8342962265014648,0.6766355037689209,1.1660970449447632,0.6787289381027222,0.669905424118042
13,0.8720073699951172,0.5398550033569336,0.8873051404953003,0.8493960499763489,0.6785046458244324,1.0629470348358154,0.6954212188720703,0.6523109078407288
14,0.8766114115715027,0.5042985677719116,0.8955355882644653,0.8656774759292603,0.7028037309646606,1.0754432678222656,0.7039216160774231,0.6822478771209717
15,0.8858194947242737,0.4876804053783417,0.9060424566268921,0.8680409789085388,0.7028037309646606,1.0438534021377563,0.710396409034729,0.6809348464012146
16,0.8848987221717834,0.45449379086494446,0.9040966033935547,0.8692227005958557,0.7065420746803284,1.1077678203582764,0.7241420745849609,0.7090336084365845
17,0.8950276374816895,0.43037116527557373,0.9116926193237305,0.8830094337463379,0.7196261882781982,1.0716084241867065,0.7373249530792236,0.7158613204956055
18,0.8968692421913147,0.42306575179100037,0.9166755080223083,0.8866859078407288,0.6897196173667908,1.082066297531128,0.7096114158630371,0.6601890921592712
19,0.909760594367981,0.3748864531517029,0.9233157634735107,0.8897058963775635,0.7065420746803284,1.0882593393325806,0.7224507331848145,0.6798844337463379
20,0.9125230312347412,0.36173856258392334,0.9330356121063232,0.8960083723068237,0.6934579610824585,1.1782565116882324,0.707335352897644,0.6877626180648804
