epoch,acc,loss,prec,rec,val_acc,val_loss,val_prec,val_rec
0,0.3867403268814087,4.320889472961426,0.385294109582901,0.37893906235694885,0.5196261405944824,2.117290735244751,0.5270362496376038,0.5070903301239014
1,0.5359116196632385,2.7190563678741455,0.5398634672164917,0.5316439270973206,0.6093457937240601,1.8827494382858276,0.634149432182312,0.6079306602478027
2,0.6187845468521118,2.0523979663848877,0.6258262395858765,0.6129201650619507,0.6392523646354675,1.610721230506897,0.6595736145973206,0.6355042457580566
3,0.6841620802879333,1.6624248027801514,0.6894230842590332,0.6764705777168274,0.6990654468536377,1.5103917121887207,0.7081231474876404,0.6877626180648804
4,0.7108655571937561,1.4216903448104858,0.7134103178977966,0.7057510018348694,0.6971962451934814,1.580132246017456,0.7105755805969238,0.6827731132507324
5,0.7707182168960571,1.1978931427001953,0.7771445512771606,0.7691701650619507,0.7271028161048889,1.4093798398971558,0.7380777597427368,0.7163865566253662
6,0.7808471322059631,1.064447045326233,0.7864757180213928,0.776260495185852,0.7327103018760681,1.3368573188781738,0.7446603178977966,0.7190126180648804
7,0.8011049628257751,0.9977524876594543,0.8126311302185059,0.7938550710678101,0.714018702507019,1.482791781425476,0.7204656004905701,0.7085083723068237
8,0.8278084993362427,0.8407736420631409,0.8363054394721985,0.8240545988082886,0.717756986618042,1.3746256828308105,0.7345938086509705,0.7079831957817078
9,0.8066298365592957,0.8629767894744873,0.8134453892707825,0.8037027716636658,0.7476635575294495,1.3962373733520508,0.7615895867347717,0.7434348464012146
10,0.8305708765983582,0.7347823977470398,0.8334996104240417,0.8297006487846375,0.7401869297027588,1.3512213230133057,0.7544817924499512,0.7366071343421936
11,0.8471454977989197,0.703467071056366,0.8520657420158386,0.841780424118042,0.7495326995849609,1.3471057415008545,0.7569852471351624,0.7434348464012146
12,0.8812154531478882,0.6287811398506165,0.8839811086654663,0.8764443397521973,0.7532710433006287,1.3354249000549316,0.7538164854049683,0.7410714030265808
13,0.8858194947242737,0.5773249268531799,0.8878238201141357,0.8837972283363342,0.7420560717582703,1.2932480573654175,0.753816545009613,0.7329306602478027
14,0.8848987221717834,0.6128171682357788,0.887535035610199,0.8793330192565918,0.7626168131828308,1.2638769149780273,0.7782037854194641,0.7531512975692749
15,0.8931860327720642,0.5638601183891296,0.8990135788917542,0.8876050710678101,0.7588785290718079,1.2650858163833618,0.7654061317443848,0.754989504814148
16,0.8987108469009399,0.5300849080085754,0.9026172757148743,0.8949580192565918,0.7495326995849609,1.2900960445404053,0.7651085257530212,0.7402836084365845
17,0.9069981575012207,0.4924847483634949,0.9103465676307678,0.9051995277404785,0.7345794439315796,1.3196814060211182,0.741299033164978,0.7300419807434082
18,0.9116021990776062,0.4729929566383362,0.9187762141227722,0.906775176525116,0.7551401853561401,1.2736197710037231,0.7638130187988281,0.754989504814148
19,0.9125230312347412,0.4568098783493042,0.9182947874069214,0.9079568982124329,0.7663551568984985,1.2607159614562988,0.767507016658783,0.7563024759292603
20,0.9355432987213135,0.4305489659309387,0.9380427002906799,0.933692216873169,0.7626168131828308,1.274573802947998,0.7707457542419434,0.7489495277404785
21,0.9235727190971375,0.46101585030555725,0.9255427122116089,0.9189863204956055,0.7383177280426025,1.3832504749298096,0.7524510025978088,0.7366071343421936
22,0.9281768202781677,0.42171818017959595,0.9350928068161011,0.9262080192565918,0.7570093274116516,1.2949869632720947,0.7653186321258545,0.7531512975692749
23,0.9346224665641785,0.4332597851753235,0.9368171691894531,0.9309348464012146,0.7626168131828308,1.311513066291809,0.769975483417511,0.7476365566253662
24,0.9337016344070435,0.4094577133655548,0.9358105659484863,0.9290966391563416,0.76822429895401,1.3281679153442383,0.7738970518112183,0.7623424530029297
25,0.9410681128501892,0.41167062520980835,0.9411152005195618,0.939338207244873,0.7401869297027588,1.3937511444091797,0.7565826773643494,0.7342436909675598
26,0.9364640712738037,0.3871452212333679,0.938235342502594,0.9338235259056091,0.7420560717582703,1.330338478088379,0.7538690567016602,0.7366071343421936
27,0.939226508140564,0.4111320972442627,0.9417279362678528,0.9375,0.7383177280426025,1.3452800512313843,0.7417717576026917,0.723739504814148
28,0.9484346508979797,0.362016886472702,0.9492647647857666,0.9448529481887817,0.7476635575294495,1.3266934156417847,0.7634103894233704,0.7421218752861023
29,0.9447513818740845,0.37652716040611267,0.9455182552337646,0.9402573704719543,0.7644859552383423,1.2802122831344604,0.7773984670639038,0.7605042457580566
30,0.9548802971839905,0.3577878773212433,0.9563637971878052,0.9520745873451233,0.745794415473938,1.338277816772461,0.7601015567779541,0.7402836084365845
31,0.9475138187408447,0.3517288267612457,0.9528712034225464,0.9465599060058594,0.7476635575294495,1.3458906412124634,0.7634629011154175,0.7476365566253662
32,0.9511970281600952,0.32747918367385864,0.9536064267158508,0.9493172764778137,0.7495326995849609,1.2791095972061157,0.7707808017730713,0.7513130307197571
33,0.9539594650268555,0.3408069312572479,0.954455554485321,0.9482667446136475,0.7476635575294495,1.3540526628494263,0.7539566159248352,0.7439600825309753
34,0.9447513818740845,0.36145275831222534,0.9480917453765869,0.9428834319114685,0.7495326995849609,1.3102848529815674,0.75197833776474,0.7347689270973206
35,0.9465929865837097,0.3653280436992645,0.948144257068634,0.9436711668968201,0.7476635575294495,1.258552074432373,0.7584384083747864,0.7457983493804932
36,0.9530386924743652,0.37880557775497437,0.9537903070449829,0.9511554837226868,0.76822429895401,1.2473690509796143,0.7753501534461975,0.763130247592926
37,0.958563506603241,0.3041979670524597,0.9613970518112183,0.957589328289032,0.76822429895401,1.2910499572753906,0.7729341983795166,0.7641806602478027
38,0.9677716493606567,0.33308225870132446,0.96875,0.9678308963775635,0.7607476711273193,1.280760407447815,0.7677346467971802,0.7586659789085388
39,0.9567219018936157,0.3239451050758362,0.9566702246665955,0.9557510614395142,0.7738317847251892,1.2642710208892822,0.7822479605674744,0.763655424118042
